,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,14.93045021,2.916832424,127.2004156,44.80726658,1.880781543,29.54812158,0.11737737,477.7744068,0.551724138,0.133710297,0.480601085,0.046145839,0.223495306,0.047383819,32,25,0,1
1,15.16517353,2.839065252,130.176317,47.36703174,2.265555022,123.9542006,0.116497178,470.1203793,0.508196721,0.142825581,0.514693995,0.048986832,0.232093452,0.048707026,31,26,0,4
2,14.03449022,2.494791645,128.6049788,53.04017589,1.956046536,32.19081354,0.109128669,336.8277653,0.470588235,0.128211046,0.4687365,0.045789475,0.219602193,0.047299228,24,26,0,1
3,14.70463902,2.618620141,127.968382,41.33875969,2.337973917,19.56961319,0.114908376,397.0252534,0.509433962,0.137144416,0.500202306,0.04845851,0.237162128,0.050314332,27,25,0,1
4,17.80542274,3.277441423,129.7836264,77.49372901,3.324403404,87.7126361,0.137193136,551.9681048,0.58490566,0.149259135,0.539559063,0.051839964,0.24614624,0.052450499,31,17,0,5
5,16.56064817,3.185508141,130.3553072,45.37966831,2.160501814,35.92852477,0.127042378,496.8194451,0.566037736,0.148136711,0.539691808,0.052364194,0.249687507,0.053624649,30,22,0,1
6,19.36226784,3.685842477,127.0882353,80.05782321,4.003557612,9.882352941,0.152352952,329.1585533,0.377777778,0.130683564,0.479972035,0.046762745,0.227896872,0.049270196,17,24,0,4
7,15.25185215,2.888129377,134.478078,45.08555409,2.5365666,99.95515783,0.113415156,350.7925995,0.522727273,0.152309684,0.561591029,0.054528887,0.250748304,0.052567163,23,18,0,3
8,13.90666852,2.571499464,131.7615544,22.80460123,1.134963867,110.8471237,0.105544205,264.2267018,0.404255319,0.131283384,0.481127575,0.046498279,0.218328468,0.047375981,19,25,0,3
9,18.44177736,3.016604558,135.230987,70.67852742,2.323573829,305.0580735,0.136372423,497.9279888,0.519230769,0.144351274,0.52632729,0.050733796,0.244845711,0.051631261,27,21,0,4
10,18.52337642,3.351606851,128.1455558,101.48677,4.933339641,23.85567833,0.144549503,407.5142813,0.523809524,0.138987589,0.51495502,0.050643905,0.243385583,0.05305552,22,19,0,1
11,16.19527962,3.347781979,138.7021467,47.55648205,2.262717184,636.4628688,0.116763006,453.4678292,0.571428571,0.144920093,0.532429893,0.050973333,0.240392213,0.051851237,28,20,0,1
12,20.04865093,3.96757795,129.4657594,252.8737894,10.85759299,32.61391103,0.154856782,541.3135752,0.5625,0.128919907,0.472851702,0.046115267,0.228166797,0.048744227,27,20,0,1
13,14.01655151,2.622725662,127.3858863,44.58565553,1.654629917,16.24060457,0.110032217,266.3144786,0.452380952,0.122727198,0.455226147,0.04373879,0.21421967,0.046143845,19,21,1,1
14,14.2790964,2.773805504,126.2142857,32.68289648,1.641526139,13.71428571,0.113133758,299.8610244,0.446808511,0.13135526,0.481817704,0.046169262,0.220027575,0.047842972,21,23,0,3
15,16.61922925,3.243330837,127.7160117,27.71326644,1.525168965,20.55691337,0.130126435,465.338419,0.528301887,0.129382053,0.469168629,0.045049058,0.218997328,0.046835569,28,24,0,1
16,15.44759011,2.885827888,134.1829472,53.59601791,2.313769783,243.5614124,0.115123348,355.2945726,0.450980392,0.141048925,0.513141791,0.04959298,0.229885275,0.048776504,23,22,0,6
17,16.79030727,3.25637807,126.9260246,44.8048838,2.156323908,65.31912066,0.132284197,453.3382963,0.5,0.125735961,0.45878337,0.04474315,0.211034932,0.045176528,27,22,0,5
18,15.52452104,2.778228392,130.2361792,32.19291612,1.174272868,134.4845316,0.119202829,341.539463,0.407407407,0.144700008,0.528369341,0.050873546,0.239563538,0.051126974,22,28,0,4
19,18.30263609,3.535831328,131.7159351,43.80947032,2.209944745,126.0687638,0.138955367,603.986991,0.589285714,0.147318095,0.534489212,0.051499325,0.24945817,0.053552029,33,22,0,1
20,15.94140016,2.883711178,128.2141359,59.80524228,2.665078804,10.0793155,0.124334186,334.7694034,0.477272727,0.131232854,0.485087395,0.047639727,0.2324477,0.049697924,21,20,0,3
21,15.25735541,3.034020774,134.3994476,57.14127045,2.477447036,259.0672839,0.113522456,457.7206622,0.461538462,0.143085964,0.511752193,0.048749639,0.223518473,0.047022088,30,30,0,5
22,17.00189522,3.266412697,128.6248289,55.99908796,2.594631921,21.48041499,0.132182063,459.0511708,0.551020408,0.126570828,0.463193609,0.044988904,0.216126925,0.046244453,27,22,0,0
23,17.90052876,3.262269755,129.3983597,56.11623533,1.916014485,76.81999156,0.138336597,447.513219,0.520833333,0.121263846,0.447209335,0.043178671,0.2103313,0.045321124,25,21,0,2
