,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,18.51816554,3.229194949,135.0220277,66.64824794,2.829552,169.2969486,0.137149218,481.4723041,0.481481481,0.139314241,0.508390785,0.049433222,0.205319989,0.052687446,26,28,0,0
1,15.46507209,2.923882505,127.834491,59.14217692,3.691439099,35.29215265,0.120977304,386.6268023,0.609756098,0.132212202,0.494148988,0.04880604,0.203031089,0.053171718,25,16,0,0
2,15.72699088,2.836493371,127.4917067,65.3256877,2.650791788,18.36093582,0.123356972,487.5367172,0.58490566,0.120252738,0.436391652,0.041613565,0.170073348,0.04382258,31,20,0,2
3,15.08084663,2.866703536,128.1102658,62.34279644,2.766881133,14.13752241,0.117717706,377.0211657,0.480769231,0.135341853,0.497749578,0.048682515,0.195897479,0.05058297,25,25,0,2
4,18.26128204,3.684855585,127.7254311,76.49453434,4.270504035,33.21756515,0.142972953,438.270769,0.48,0.118311067,0.431825394,0.041463325,0.168799275,0.044632212,24,25,1,0
5,15.00891606,2.767160516,130.4784822,33.47506877,1.634009426,122.9130071,0.115029818,450.2674818,0.508474576,0.125388294,0.451173873,0.043005809,0.177134405,0.045813905,30,28,1,0
6,15.0239246,2.784036097,133.53756,45.91892384,1.961927837,359.3549593,0.112507107,405.6459641,0.5,0.137405878,0.504277642,0.048994985,0.198367783,0.051856006,27,26,0,1
7,18.98422162,3.553430892,131.0709996,55.2027514,2.486601735,130.8265152,0.144839222,626.4793134,0.55,0.134289865,0.481364617,0.046171308,0.187801127,0.048156224,33,26,0,1
8,15.41033713,2.587265751,128.8476575,38.37027933,1.340203725,55.61669629,0.119601221,292.7964055,0.5,0.118343187,0.440675406,0.042934975,0.178387062,0.046496616,19,19,0,0
9,15.85450282,2.756119282,133.2492037,47.03980393,1.791904443,184.385162,0.118983847,428.0715762,0.529411765,0.133062269,0.48311557,0.04649704,0.189558593,0.049586875,27,24,0,0
10,17.88708526,3.428072282,129.6263349,51.47277953,2.715088271,56.29896276,0.137989593,554.499643,0.574074074,0.130501205,0.475397837,0.045965619,0.188585626,0.049498449,31,23,0,0
11,13.37309746,2.590276911,128.889858,43.41242501,2.724544517,38.47933209,0.103756011,361.0736313,0.54,0.141640899,0.520327746,0.049737848,0.206653644,0.05359331,27,23,0,0
12,17.3417507,3.386673331,131.6625093,70.00273564,3.305427598,138.9049463,0.131713658,468.227269,0.574468085,0.135470253,0.505107717,0.0486158,0.201162959,0.052334002,27,19,0,1
13,16.59912528,3.070424866,133.5365077,42.80086983,2.464564577,188.5636802,0.124304024,464.7755077,0.482758621,0.150339965,0.542479737,0.052428279,0.211409504,0.05435082,28,26,0,4
14,16.40119989,3.230929341,127.5012114,47.23534886,2.471867965,16.30481394,0.12863564,475.6347967,0.547169811,0.146225132,0.537192622,0.051782925,0.2117002,0.055174962,29,24,0,0
