,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,14.89555179,2.692918115,133.9641614,64.67698751,3.191598782,134.3033457,0.111190572,714.9864858,0.8,0.134330018,0.490525843,0.047202804,0.255799163,0.04706694,48,6,0,6
1,14.64204408,2.625923993,140.3257899,52.80967573,2.475981851,399.523911,0.104343215,658.8919837,0.803571429,0.147844121,0.532684266,0.051333854,0.266181864,0.050493211,45,4,0,7
2,14.10238399,2.662894586,131.4688585,59.7637916,2.521724857,34.01379231,0.107267867,578.1977437,0.872340426,0.122179217,0.446852995,0.043539926,0.242546221,0.045731315,41,6,0,0
3,12.51587204,2.205767808,132.8578578,31.51006884,1.277167082,78.17870947,0.094204982,425.5396493,0.755555556,0.13935372,0.510302183,0.049161073,0.273629169,0.050142588,34,7,0,4
4,14.49234177,2.780239465,135.1185795,61.05348967,3.116560541,147.7928977,0.107256469,507.2319619,0.795454545,0.138521756,0.511593309,0.049750322,0.268713157,0.050027067,35,4,0,5
5,14.46368112,2.746097612,135.6553391,38.98704739,2.004302264,170.7307615,0.106620803,549.6198826,0.690909091,0.146149238,0.529853494,0.050449322,0.274478796,0.050362677,38,10,0,7
6,16.17336439,2.935082347,137.2284803,52.08802321,2.355815578,204.6106524,0.1178572,630.7612113,0.847826087,0.123189881,0.456780072,0.044486144,0.239630524,0.044928371,39,4,0,3
7,16.05478796,2.956971219,132.7102137,59.72665847,2.255589097,132.2706932,0.12097628,690.3558822,0.826923077,0.130609523,0.477076605,0.046549821,0.243482893,0.046226966,43,5,0,4
8,14.71442071,2.671217817,134.9487097,49.63452955,2.357445419,128.6837182,0.109037135,529.7191455,0.857142857,0.141972013,0.523410108,0.051096687,0.278340159,0.05129525,36,3,0,3
9,14.45038561,2.6323741,138.8147619,44.54479573,1.874828479,264.0485427,0.104098335,592.46581,0.706896552,0.139188445,0.50769823,0.04920904,0.267557765,0.048945955,41,13,0,4
10,16.93302417,2.996181315,134.5143525,36.52731231,2.16579415,119.2761774,0.125882658,812.7851604,0.761904762,0.14178976,0.509530097,0.049535135,0.258264267,0.047668946,48,8,0,7
11,12.5119164,2.140355181,133.9050972,24.75178098,0.892936154,182.5252437,0.093438687,325.3098265,0.619047619,0.133017098,0.492623166,0.048328512,0.263267702,0.048834948,26,11,0,5
12,14.17532091,2.589642761,131.1920037,56.51795291,2.343537515,59.20642491,0.10805019,439.4349482,0.738095238,0.148172251,0.547688741,0.053590783,0.290389681,0.054270471,31,8,0,3
13,13.86135304,2.580376342,134.5428863,39.03113606,1.595837486,79.23597054,0.103025536,526.7314154,0.775510204,0.128986004,0.474502637,0.046341442,0.251425407,0.047371052,38,8,0,3
14,14.62459604,2.811708357,137.8369554,42.77131546,2.166399667,193.496708,0.10610069,541.1100533,0.770833333,0.153413151,0.563079323,0.054124996,0.287799317,0.054797644,37,6,0,5
15,14.17997601,2.545954631,141.7958198,57.81081043,1.928789759,554.4293431,0.100002779,581.3790163,0.872340426,0.144375567,0.528633495,0.051449843,0.279190196,0.051844851,41,1,0,5
16,12.42648882,2.27679023,132.5560627,36.9380169,1.334638379,39.84713453,0.093745156,534.3390195,0.754385965,0.126207463,0.458087584,0.044226987,0.235160484,0.043736399,43,8,0,6
17,15.15042993,2.641623136,135.5410016,66.6451218,2.760252291,214.0078319,0.111777468,742.3710664,0.830508475,0.165751972,0.60217723,0.058244299,0.305843631,0.056143314,49,5,0,5
18,13.98439598,2.590894538,134.4021901,49.69393975,2.661558744,109.3055892,0.10404887,587.3446312,0.75,0.148032249,0.540436577,0.052175301,0.275210721,0.051928589,42,7,0,7
19,13.4412844,2.304260407,134.1085989,48.13815974,1.303166262,93.77876657,0.100226865,618.2990826,0.901960784,0.138347798,0.508088323,0.049537612,0.266751926,0.048434944,46,5,0,0
20,16.33258555,2.922738424,134.5864533,51.94760277,2.872659346,130.7505223,0.12135386,783.9641065,0.941176471,0.127457847,0.46896112,0.045758714,0.255022658,0.0466246,48,2,0,1
21,15.00775459,2.85041111,132.6190537,77.51787845,3.818209898,82.69897747,0.113164392,630.3256928,0.777777778,0.140795653,0.510135383,0.048987853,0.259104663,0.049019142,42,7,0,5
22,15.69981861,2.90775949,129.5019855,55.89005042,1.761267901,34.8909075,0.121232262,580.8932886,0.880952381,0.128971922,0.475915177,0.046688437,0.252572519,0.048101416,37,4,0,1
23,16.0402818,2.778492143,135.6773671,63.83582964,2.79431089,114.1262578,0.118223711,721.812681,0.833333333,0.144412279,0.526474629,0.05097283,0.277373147,0.051284295,45,8,0,1
24,14.11500106,2.698542136,130.9878461,37.57943282,2.106820595,47.82128625,0.107758097,409.3350306,0.783783784,0.116155263,0.437023681,0.042741346,0.23338398,0.04376247,29,6,0,2
25,13.14052053,2.460101316,137.7844157,40.44364311,1.671704264,325.0631971,0.095370151,538.7613417,0.953488372,0.139439996,0.513444382,0.050157963,0.277707751,0.052695973,41,1,0,1
26,13.8762948,2.459575271,133.2265928,42.39819623,1.711835827,50.55033009,0.104155593,652.1858555,0.783333333,0.139227659,0.504932803,0.04829832,0.253644469,0.04697494,47,7,0,6
27,14.63928085,2.740751526,135.6349018,54.93689857,2.663520309,127.3174699,0.107931518,614.8497957,0.666666667,0.123966206,0.441963495,0.042313584,0.224289068,0.041759765,42,14,0,7
28,13.8428427,2.422459048,133.6160559,42.20335024,1.639251507,208.7024931,0.103601641,484.4994947,0.760869565,0.136406446,0.501834734,0.0483502,0.261166093,0.048355976,35,7,1,3
29,15.72143279,2.898401489,131.3259114,53.88513342,2.543361161,73.41923375,0.119713106,503.0858494,0.820512821,0.123051938,0.458148859,0.044266209,0.238175023,0.045204134,32,4,0,3
30,13.9679405,2.570469203,135.590799,40.72974044,2.121908998,333.2648046,0.103015401,572.6855603,0.788461538,0.151493197,0.5512335,0.053073684,0.275048098,0.052483598,41,6,1,4
31,14.66530365,2.679054934,133.0875284,47.63680158,1.96516755,83.35614787,0.110192922,762.5957899,0.838709677,0.14681231,0.528837521,0.051052646,0.278123542,0.051958273,52,6,0,4
32,14.80728795,2.710880153,131.1575082,57.20310314,2.846933672,40.08792701,0.11289699,459.0259264,0.911764706,0.128495129,0.481912553,0.04781262,0.266890332,0.049912012,31,3,0,0
