,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,13.57556462,2.562015639,129.961638,36.10012965,1.453780281,36.78477916,0.104458245,407.2669387,0.588235294,0.136582914,0.415045508,0.04754045,0.231366057,0.049647955,30,19,0,2
1,16.17022113,3.007064698,130.2090851,27.53783877,1.67533189,49.50461496,0.124186581,436.5959704,0.5625,0.134779392,0.409336141,0.047631033,0.231254687,0.050264161,27,20,0,1
2,15.69982974,2.856176137,135.873744,57.8032597,2.077353275,570.4106833,0.115547193,439.5952328,0.518518519,0.148415787,0.451419296,0.051920016,0.25316075,0.053904927,28,24,0,2
3,17.51268636,3.289505044,130.495941,42.55269445,1.911595362,84.08714307,0.134201004,385.2791,0.511627907,0.144192648,0.446543823,0.051842231,0.245704855,0.053851964,22,17,0,4
4,17.26491443,3.451793057,130.730152,49.28599075,1.998375042,73.21578717,0.132065282,535.2123475,0.525423729,0.138211733,0.418479255,0.048297696,0.234519422,0.049972075,31,26,0,2
5,16.4913014,2.890222624,128.7167847,27.16901286,1.249407464,24.02473367,0.128120831,544.2129461,0.673469388,0.126620713,0.385564558,0.045053816,0.22051149,0.047766981,33,16,0,0
6,15.23616438,2.915557553,133.0028466,34.11360577,1.751093451,107.3461521,0.114555175,472.3210959,0.596153846,0.137982548,0.421807133,0.049380952,0.239642486,0.051406913,31,20,0,1
7,16.40363776,2.955490472,132.255954,53.24232753,2.488117869,144.0853189,0.124029484,475.705495,0.50877193,0.128001018,0.385903299,0.044842741,0.211931583,0.044974603,29,24,0,4
8,16.16727044,2.7073146,128.4167876,40.53620098,0.958728651,46.89383035,0.125896861,388.0144905,0.510638298,0.132569475,0.408177621,0.047894888,0.23201292,0.049427976,24,21,0,2
9,16.14144793,3.245801818,130.8122727,73.85058462,3.156684288,68.97191671,0.123393987,484.243438,0.545454545,0.145152081,0.440742572,0.050763526,0.246820427,0.052923447,30,23,0,2
10,15.07721566,2.942590721,127.7293097,26.76149756,1.455609133,18.22247354,0.118040375,407.0848228,0.551020408,0.12569876,0.383026212,0.04472577,0.218497536,0.046707892,27,22,0,0
11,16.21689615,2.988542193,127.7781416,56.56617523,3.097628424,5.88822818,0.126914478,340.5548192,0.5,0.136432233,0.42051947,0.048800837,0.235974201,0.05025318,21,20,0,1
12,16.81993455,3.301014833,132.6844318,31.38618653,1.792538174,152.6588356,0.126766451,370.03856,0.488888889,0.127753628,0.392083873,0.045784764,0.221443548,0.046656958,22,20,1,2
13,17.29457828,3.059724374,129.44692,58.01850519,3.461974952,73.91368615,0.133603629,415.0698787,0.461538462,0.134256594,0.410659661,0.047557008,0.220399906,0.047477046,24,24,0,4
14,17.6641839,3.386530634,127.6294239,15.93748097,0.395488834,16.63970418,0.138402128,353.2836779,0.444444444,0.125987419,0.390185697,0.045666731,0.222264024,0.047930798,20,24,0,1
15,16.28031588,3.211111291,127.7602673,72.15609176,3.428526877,42.96741679,0.12742863,358.1669493,0.47826087,0.115187172,0.354142119,0.04134789,0.194174478,0.042613103,22,20,0,4
16,16.95624357,2.997773155,127.8542877,64.65111467,2.038807418,26.8206883,0.132621626,525.6435506,0.62,0.137781768,0.419987109,0.048390986,0.230758992,0.049378557,31,18,0,1
17,16.48565414,3.086680263,137.3532978,48.39751714,2.066769896,286.3230781,0.120023723,412.1413536,0.568181818,0.144211267,0.445207598,0.052174538,0.248424166,0.053386864,25,15,0,4
18,15.58376615,2.785067631,127.1337583,42.47314945,1.082229238,33.0074893,0.122577719,311.675323,0.416666667,0.131038236,0.402357391,0.047135125,0.227671709,0.048798249,20,26,0,2
19,13.46593085,2.387590037,131.4563775,27.84995673,0.9036376,118.4850651,0.102436497,296.2504787,0.44,0.131078594,0.400230495,0.045968326,0.220221069,0.046956892,22,24,0,4
20,17.76060453,3.320506525,126.1625069,53.58099509,2.684932708,13.14952751,0.140775615,461.7757177,0.530612245,0.121083181,0.370075316,0.04299357,0.208188743,0.044880378,26,19,0,4
21,17.34795197,3.451677759,128.7987944,46.98778075,2.850694066,45.64681436,0.134690329,468.3947031,0.509433962,0.136371508,0.411414866,0.047706617,0.227794772,0.048856788,27,24,0,2
22,17.15826944,3.100168636,127.4816918,58.87812783,2.045426913,13.95014074,0.134593989,549.064622,0.680851064,0.124464119,0.379558875,0.044098778,0.210336572,0.045404147,32,14,0,1
