,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,4.585133084,0.829653091,91.15610296,4.40055302,0.181290093,52.13613048,0.050299793,343.8849813,0.528169014,0.133710297,0.480601085,0.046145839,0.223495306,0.047383819,75,59,2,6
1,4.64619891,0.842123478,91.21494949,5.511047667,0.245971814,73.95657933,0.050936814,348.4649182,0.539568345,0.142825581,0.514693995,0.048986832,0.232093452,0.048707026,75,52,2,10
2,4.854706383,0.959366731,88.42494228,6.258970077,0.29928408,19.62508961,0.054902002,378.6670978,0.523489933,0.128211046,0.4687365,0.045789475,0.219602193,0.047299228,78,64,0,7
3,4.725736183,0.8796499,92.15636198,6.316329864,0.243755019,103.0437497,0.051279544,335.527269,0.482993197,0.137144416,0.500202306,0.04845851,0.237162128,0.050314332,71,70,1,5
4,5.197504451,0.929488654,90.40607158,6.780179577,0.28235017,51.9406892,0.057490657,353.4303027,0.462585034,0.149259135,0.539559063,0.051839964,0.24614624,0.052450499,68,70,1,8
5,4.89932852,0.964813286,92.34782506,5.745771368,0.25889429,132.9553177,0.053052993,391.9462816,0.544217687,0.148136711,0.539691808,0.052364194,0.249687507,0.053624649,80,57,2,8
6,4.381119347,0.840527401,89.74000296,3.093861135,0.146549825,43.84586713,0.048820138,359.2517864,0.529032258,0.130683564,0.479972035,0.046762745,0.227896872,0.049270196,82,69,0,4
7,4.747942862,0.869008032,96.54503505,6.704173206,0.241158096,262.3826863,0.04917853,384.5833718,0.519230769,0.152309684,0.561591029,0.054528887,0.250748304,0.052567163,81,55,1,19
8,4.99491201,0.95066706,89.63059962,6.158759806,0.213405659,49.30262514,0.055727754,404.5878728,0.529411765,0.131283384,0.481127575,0.046498279,0.218328468,0.047375981,81,63,1,8
9,4.729758789,0.857464606,94.83161839,5.2732302,0.173414278,202.0471199,0.049875336,378.3807031,0.540540541,0.144351274,0.52632729,0.050733796,0.244845711,0.051631261,80,60,2,6
10,4.776202839,0.892711469,90.59079411,6.35999927,0.26703359,78.29880871,0.052722828,372.5438214,0.493670886,0.138987589,0.51495502,0.050643905,0.243385583,0.05305552,78,73,0,7
11,4.540085219,0.8619889,94.66436499,4.993677124,0.225792364,481.5510092,0.047959813,331.426221,0.483443709,0.144920093,0.532429893,0.050973333,0.240392213,0.051851237,73,65,3,10
12,4.89952671,0.904085085,91.40951282,5.355948096,0.264559763,79.35320039,0.053599746,391.9621368,0.526315789,0.128919907,0.472851702,0.046115267,0.228166797,0.048744227,80,68,0,4
13,5.053877649,0.94728071,90.44934072,4.917440385,0.208482481,50.35540319,0.055875229,444.7412332,0.556962025,0.122727198,0.455226147,0.04373879,0.21421967,0.046143845,88,62,2,6
14,5.238360988,1.018290198,89.69655959,6.204699914,0.266783452,54.82892854,0.058400913,413.830518,0.516339869,0.13135526,0.481817704,0.046169262,0.220027575,0.047842972,79,65,4,5
15,4.760695674,0.842926505,90.51662405,3.969500171,0.143209556,53.97073604,0.052594711,318.9666101,0.455782313,0.129382053,0.469168629,0.045049058,0.218997328,0.046835569,67,73,2,5
16,4.973295165,0.919505309,91.41249855,6.305909374,0.258119849,89.525853,0.05440498,382.9437277,0.516778523,0.141048925,0.513141791,0.04959298,0.229885275,0.048776504,77,58,1,13
17,4.596664466,0.810349596,90.16444418,4.241447548,0.163253372,45.9884911,0.050980899,358.5398283,0.534246575,0.125735961,0.45878337,0.04474315,0.211034932,0.045176528,78,61,0,7
18,4.809131454,0.93044041,94.14949511,4.258825729,0.215905241,140.1721905,0.051079737,336.6392018,0.479452055,0.144700008,0.528369341,0.050873546,0.239563538,0.051126974,70,65,1,10
