,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,4.445970506,0.85454457,92.36592146,4.1489726,0.21883456,126.0152337,0.048134317,364.5695815,0.561643836,0.139314241,0.508390785,0.049433222,0.205319989,0.052687446,82,62,0,2
1,5.109070275,0.937568893,91.2057113,5.686569394,0.258808756,86.2131016,0.056016999,439.3800437,0.540880503,0.132212202,0.494148988,0.04880604,0.203031089,0.053171718,86,72,0,1
2,5.108300653,0.942353345,91.70883821,5.366311422,0.231011531,107.8365191,0.055701291,418.8806536,0.557823129,0.120252738,0.436391652,0.041613565,0.170073348,0.04382258,82,60,4,1
3,5.058046671,0.967745258,90.55346323,7.282113606,0.404696984,60.92978143,0.055857021,399.585687,0.533783784,0.135341853,0.497749578,0.048682515,0.195897479,0.05058297,79,64,0,5
4,4.80041508,0.904148251,89.62855029,5.464326647,0.23972051,74.24002453,0.053558995,379.2327913,0.526666667,0.118311067,0.431825394,0.041463325,0.168799275,0.044632212,79,69,1,1
5,4.682762908,0.893996021,91.97786794,3.949577463,0.199173272,120.3723394,0.050911844,327.7934036,0.496453901,0.125388294,0.451173873,0.043005809,0.177134405,0.045813905,70,69,1,1
6,4.45529144,0.818441032,96.69305785,2.962351821,0.166151273,701.5712497,0.046076642,338.6021494,0.520547945,0.137405878,0.504277642,0.048994985,0.198367783,0.051856006,76,68,0,2
7,5.013254663,0.955450855,94.47076601,6.07169353,0.265039693,238.9669337,0.05306673,335.8880624,0.478571429,0.134289865,0.481364617,0.046171308,0.187801127,0.048156224,67,69,1,3
8,4.707091344,0.923689358,88.1874453,5.377021877,0.268344314,14.91419023,0.05337598,334.2034854,0.438271605,0.118343187,0.440675406,0.042934975,0.178387062,0.046496616,71,87,2,2
9,4.730671792,0.924769548,93.86507518,4.857682896,0.235955429,201.1397318,0.050398636,383.1844152,0.543624161,0.133062269,0.48311557,0.04649704,0.189558593,0.049586875,81,63,2,3
10,4.864099279,0.910144584,89.3417447,5.388742619,0.283270608,53.9271044,0.054443746,384.263843,0.54109589,0.130501205,0.475397837,0.045965619,0.188585626,0.049498449,79,66,1,0
