,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,4.153654493,0.755232548,93.89224309,6.04827236,0.293439263,53.06215951,0.044238527,436.1337218,0.75,0.134330018,0.490525843,0.047202804,0.255799163,0.04706694,105,26,1,8
1,4.376422096,0.801857735,98.39258672,4.80180687,0.217565767,262.1930794,0.044479185,516.4178073,0.819444444,0.147844121,0.532684266,0.051333854,0.266181864,0.050493211,118,16,0,10
2,4.521494383,0.847829679,91.5923429,5.028829679,0.26013145,49.22301644,0.049365419,574.2297866,0.830065359,0.122179217,0.446852995,0.043539926,0.242546221,0.045731315,127,20,0,6
3,4.236932759,0.762824455,94.77288414,4.855773186,0.192201133,71.35790265,0.044706171,521.1427293,0.793548387,0.13935372,0.510302183,0.049161073,0.273629169,0.050142588,123,23,2,7
4,4.437784775,0.814762616,98.46993648,5.588719783,0.254137586,274.4253903,0.045067408,545.8475273,0.788461538,0.138521756,0.511593309,0.049750322,0.268713157,0.050027067,123,22,1,10
5,4.195057929,0.79102785,93.51762559,3.833997922,0.191363501,50.72844947,0.044858473,465.6514302,0.765517241,0.146149238,0.529853494,0.050449322,0.274478796,0.050362677,111,23,4,7
6,4.208428032,0.765262257,94.28489257,3.928100026,0.140112504,102.9303577,0.044635232,530.2619321,0.818181818,0.123189881,0.456780072,0.044486144,0.239630524,0.044928371,126,21,0,7
7,3.940189183,0.707791462,93.50033062,3.935757466,0.179377921,82.60639701,0.042140912,476.7628912,0.817567568,0.130609523,0.477076605,0.046549821,0.243482893,0.046226966,121,15,0,12
8,4.348057196,0.788269253,95.82383243,7.031623797,0.259684994,145.4743726,0.04537553,534.811035,0.778481013,0.141972013,0.523410108,0.051096687,0.278340159,0.05129525,123,23,0,12
9,4.228467743,0.784940137,96.01624468,6.013887285,0.245043497,174.0817127,0.044039087,511.6445969,0.852112676,0.139188445,0.50769823,0.04920904,0.267557765,0.048945955,121,11,0,10
