,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,4.86761787,0.953676339,89.38868847,6.600520517,0.335546218,71.35857285,0.054454517,345.6008688,0.476510067,0.136582914,0.415045508,0.04754045,0.231366057,0.049647955,71,69,3,6
1,4.801576512,0.902784145,90.17861932,6.378428421,0.303089402,69.6534136,0.053245177,417.7371566,0.572368421,0.134779392,0.409336141,0.047631033,0.231254687,0.050264161,87,60,0,5
2,4.576761086,0.866957485,95.83078817,4.718692749,0.175035533,572.7697432,0.047758775,343.2570815,0.51369863,0.148415787,0.451419296,0.051920016,0.25316075,0.053904927,75,63,2,6
3,4.773757024,0.931894231,89.76354873,5.675299873,0.266849305,59.29943981,0.053181465,458.2806744,0.611464968,0.144192648,0.446543823,0.051842231,0.245704855,0.053851964,96,53,3,5
4,4.582281298,0.8358556,90.67164957,4.628351196,0.263302151,59.88735658,0.05053709,325.3419722,0.503546099,0.138211733,0.418479255,0.048297696,0.234519422,0.049972075,71,66,1,3
5,4.986873894,0.885156834,91.29720462,7.336142455,0.218464762,65.60756933,0.054622416,398.9499115,0.529801325,0.126620713,0.385564558,0.045053816,0.22051149,0.047766981,80,68,0,3
6,5.515428549,1.032014486,93.17341539,6.750119362,0.391669132,199.8646446,0.059195303,419.1725698,0.513513514,0.137982548,0.421807133,0.049380952,0.239642486,0.051406913,76,65,1,6
7,4.716516336,0.887585874,90.63278188,4.426330951,0.204242804,60.08903823,0.05203985,344.3056925,0.51048951,0.128001018,0.385903299,0.044842741,0.211931583,0.044974603,73,60,0,10
8,4.955362026,0.944652897,88.8606135,5.959059294,0.288128643,12.1780814,0.055765562,381.562876,0.503267974,0.132569475,0.408177621,0.047894888,0.23201292,0.049427976,77,69,0,7
9,4.503945102,0.821381455,93.10824177,3.248186208,0.14815845,114.6228674,0.048373216,315.2761571,0.482758621,0.145152081,0.440742572,0.050763526,0.246820427,0.052923447,70,70,1,4
10,4.953545162,0.943484918,91.34032021,5.228155561,0.263039981,96.22523024,0.054231747,426.0048839,0.569536424,0.12569876,0.383026212,0.04472577,0.218497536,0.046707892,86,58,0,7
11,4.902102828,0.893490329,92.94441954,5.118660269,0.202714006,148.2351455,0.052742304,343.1471979,0.443037975,0.136432233,0.42051947,0.048800837,0.235974201,0.05025318,70,77,2,9
12,5.062108708,0.934875296,91.26145126,4.88677294,0.256160478,86.73627098,0.055468203,404.9686967,0.516129032,0.127753628,0.392083873,0.045784764,0.221443548,0.046656958,80,65,0,10
13,5.102361813,0.990843127,89.78334008,8.510324456,0.372340476,47.73006975,0.056829717,387.7794978,0.513513514,0.134256594,0.410659661,0.047557008,0.220399906,0.047477046,76,60,2,10
14,5.033349003,0.984016287,90.12593605,6.355528232,0.299653068,72.42356638,0.055847953,402.6679202,0.516129032,0.125987419,0.390185697,0.045666731,0.222264024,0.047930798,80,69,1,5
15,5.108304237,0.970129172,89.38202408,5.58911334,0.251218088,59.85796085,0.05715136,429.0975559,0.545454545,0.115187172,0.354142119,0.04134789,0.194174478,0.042613103,84,62,1,7
16,5.222641244,0.95150195,90.0212533,6.737307246,0.213492063,32.7160897,0.058015647,407.366017,0.52,0.137781768,0.419987109,0.048390986,0.230758992,0.049378557,78,60,3,9
17,4.813303168,0.923123124,99.1325838,4.97256263,0.216707935,306.2466552,0.048554199,385.0642534,0.512820513,0.144211267,0.445207598,0.052174538,0.248424166,0.053386864,80,67,1,8
18,4.390531962,0.814527843,91.69822926,4.273864482,0.1774086,92.04846448,0.047880226,307.3372373,0.460526316,0.131038236,0.402357391,0.047135125,0.227671709,0.048798249,70,74,0,8
19,5.082376174,0.97973399,91.47563236,6.212667418,0.313252371,129.5217885,0.055559891,411.6724701,0.54,0.131078594,0.400230495,0.045968326,0.220221069,0.046956892,81,60,2,7
20,4.853903545,0.92369672,88.5933112,6.565604364,0.338398069,16.47780664,0.054788601,349.4810553,0.476821192,0.121083181,0.370075316,0.04299357,0.208188743,0.044880378,72,75,1,3
21,5.043664747,0.978877404,90.57540353,7.949676004,0.33756452,50.80105549,0.055684706,413.5805092,0.557823129,0.136371508,0.411414866,0.047706617,0.227794772,0.048856788,82,58,0,7
22,5.373449175,1.018763481,89.90969132,8.889405627,0.405938585,60.5289805,0.059764961,478.2369766,0.581699346,0.124464119,0.379558875,0.044098778,0.210336572,0.045404147,89,54,1,9
23,4.617393926,0.882328807,93.72953867,3.631790186,0.142102766,123.429765,0.049262954,406.3306655,0.578947368,0.127681437,0.391752924,0.045928091,0.221245412,0.046772393,88,55,1,8
24,4.813684073,0.9083953,91.20660849,4.961368401,0.283853291,73.67903532,0.052777799,404.3494621,0.552631579,0.129025659,0.394171919,0.046195461,0.223763374,0.048539064,84,64,1,3
25,4.933024502,0.927298161,95.16525011,4.434531945,0.228450737,197.6921961,0.051836406,429.1731317,0.591836735,0.12709132,0.385237649,0.044498996,0.215756609,0.046540147,87,54,1,5
26,5.214467746,0.963198781,91.98675475,7.481283256,0.347058774,133.0511477,0.056687158,370.22721,0.48630137,0.137079517,0.414878147,0.048160318,0.232263168,0.049699735,71,66,1,8
27,4.690549657,0.837413147,92.07286037,4.715067753,0.173342431,77.69248417,0.05094389,337.7195753,0.473684211,0.143955766,0.442509,0.051827547,0.244438189,0.051881874,72,67,1,12
28,4.951731079,0.937639106,90.58503341,4.998422394,0.194580924,77.04325759,0.054663899,420.8971417,0.527950311,0.130583581,0.408510584,0.048277625,0.234455671,0.050825212,85,72,0,4
29,4.706346265,0.855648968,92.39809172,3.802812858,0.188133985,150.4893478,0.050935535,371.8013549,0.530201342,0.137472589,0.417805676,0.048550226,0.225616903,0.048302257,79,56,0,14
30,4.608278372,0.823874643,97.73386582,8.264996523,0.397567714,448.0956812,0.047151295,304.1463726,0.468085106,0.146985279,0.445340936,0.051446603,0.240237749,0.050368772,66,64,0,11
31,4.79587566,0.886034702,91.07541958,5.170264641,0.20777165,60.62933668,0.052658288,350.0989231,0.51048951,0.133983047,0.404854609,0.046714016,0.222602104,0.047124217,73,58,2,10
32,4.766367665,0.850115305,94.99478859,6.859569087,0.258311915,225.4913738,0.050175044,367.0103102,0.5,0.149368065,0.459450427,0.053805551,0.2623362,0.055478439,77,70,0,7
33,4.795027471,0.897535907,93.11402846,4.974452308,0.205835484,164.7452445,0.051496295,369.2171153,0.503267974,0.147502742,0.451684849,0.052891715,0.255690393,0.055130697,77,69,0,7
34,5.215585708,0.951711412,89.59479738,4.291218179,0.259794868,35.60721563,0.058213042,385.9533424,0.47133758,0.124430325,0.385051113,0.044876984,0.219953711,0.047198374,74,73,3,7
35,4.661970251,0.891121154,92.95076257,4.704771457,0.259633915,150.5304216,0.050155266,377.6195903,0.554794521,0.135191266,0.408633969,0.047004252,0.222201918,0.047758331,81,56,2,7
36,5.001104657,0.970274178,92.19956394,4.672432598,0.197614558,121.7754525,0.054242173,370.0817446,0.490066225,0.134797155,0.413593275,0.048521046,0.232951883,0.050321494,74,72,1,4
37,4.572360322,0.892779063,91.57935353,4.441442359,0.226075967,85.07654356,0.049927851,342.9270241,0.462962963,0.127801616,0.396413795,0.046195775,0.223939173,0.048380361,75,77,2,8
38,5.195182278,0.997888529,89.99095848,6.377773083,0.341712193,88.74511785,0.057730047,379.2483063,0.483443709,0.131178354,0.403293468,0.04767334,0.223478056,0.048474656,73,73,0,5
39,4.540647608,0.827070788,92.28822068,4.733246559,0.226424808,111.1039435,0.049200728,336.007923,0.5,0.144676975,0.441970329,0.051086686,0.24101992,0.052289618,74,68,1,5
40,4.64905249,0.879637008,88.33645117,5.985599468,0.218908921,13.35555666,0.052628925,395.1694616,0.559210526,0.117502123,0.357382198,0.041632079,0.20340787,0.043980693,85,64,0,3
