,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
0,4.925314426,0.951880479,100.7463474,6.779771784,0.329857878,567.1943984,0.048888268,438.3529839,0.609589041,0.14708307,0.446972559,0.051058288,0.208871224,0.054467983,89,53,2,2
1,4.967568857,0.941606152,93.42675876,4.152524228,0.182639975,108.6473501,0.053170729,442.1136283,0.563291139,0.138484128,0.42872595,0.049675123,0.204268699,0.053506164,89,65,3,1
2,4.893079559,0.903868459,89.22577691,5.264841496,0.225728484,40.36369207,0.054839305,357.1948078,0.493243243,0.130880668,0.399269385,0.046496053,0.191205976,0.050326749,73,75,0,0
3,3.907490112,0.730696348,92.09200648,2.966381901,0.118007387,72.10979216,0.042430285,296.9692485,0.506666667,0.143981098,0.444255406,0.051637574,0.207128263,0.053642391,76,69,0,5
4,4.648826043,0.819658536,89.71905994,5.066790764,0.179423355,36.78108857,0.051815367,460.2337783,0.626582278,0.131401873,0.409007775,0.048056655,0.198227346,0.052124943,99,59,0,0
5,4.649563782,0.860001469,93.14641805,4.363005363,0.207918801,119.4188881,0.049916721,376.6146663,0.519230769,0.133943167,0.415455422,0.048735478,0.203250478,0.052249514,81,70,2,3
6,4.331576805,0.825248523,89.04814462,3.986735635,0.179375349,29.3690778,0.048643089,350.8577212,0.536423841,0.121438493,0.370843177,0.043024393,0.177530498,0.04573171,81,66,2,2
7,4.623282718,0.842004136,92.61952831,3.528456165,0.168080201,96.20336301,0.049916932,406.8488792,0.590604027,0.152939952,0.465809745,0.054705354,0.228145002,0.059077673,88,61,0,0
8,5.031434998,0.960785772,88.93519035,3.815609235,0.194201779,33.56296838,0.056574175,392.4519298,0.523489933,0.120398245,0.366119499,0.042269652,0.172080192,0.045239472,78,68,1,2
9,4.998361075,0.948296407,91.90788687,8.925883669,0.350945477,83.4353993,0.054384463,399.868886,0.540540541,0.134182817,0.40774264,0.04721136,0.19591291,0.050326068,80,65,1,2
10,4.316878398,0.754694179,96.11965733,4.176927795,0.135787614,184.9567924,0.044911504,302.1814879,0.482758621,0.159214826,0.482971342,0.055617785,0.230013953,0.058497252,70,68,2,5
11,4.779095942,0.894741963,92.35138405,5.198351155,0.233415272,84.71454195,0.051749045,339.3158119,0.493055556,0.15616937,0.472331861,0.054468522,0.225395639,0.057816714,71,71,1,1
12,4.484495544,0.858866093,90.15852387,6.13472199,0.254028745,43.04545165,0.049740117,349.7906525,0.527027027,0.126328403,0.382475998,0.044193254,0.183588661,0.04808739,78,68,2,0
13,4.787950971,0.880556482,92.48806759,6.325448661,0.218392917,163.532801,0.05176831,354.3083719,0.513888889,0.147843512,0.44762549,0.052272853,0.211107245,0.05493817,74,67,0,3
14,4.956298387,0.979540763,92.95245276,5.827681998,0.301206723,150.8469525,0.053320792,371.722379,0.528169014,0.133460391,0.403759938,0.046403416,0.188894236,0.049370411,75,62,3,2
15,5.369861061,1.039697824,88.85277951,6.418391793,0.300356866,25.31116461,0.060435488,434.9587459,0.5625,0.11777249,0.353057487,0.040600744,0.165614843,0.04333057,81,61,1,1
16,4.898388991,0.975222647,91.43258397,5.696608638,0.27647333,67.64370676,0.053573778,411.4646752,0.545454545,0.134464776,0.411897372,0.048216545,0.200845422,0.051796119,84,68,0,2
